VOZILO,OZNAKA
Manjše poveljniško vozilo ,PV-1
Večje poveljniško vozilo ,PV-2
Gasilsko vozilo zveze ,GVZ-1
Gasilsko vozilo za radijske zveze ,GVRZ
Manjše gasilsko vozilo, GV-1
Manjše gasilsko vozilo z vodo ,GVV-1
Večje gasilsko vozilo z vodo ,GVV-2
Gasilsko vozilo s cisterno ,GVC-1
Gasilsko vozilo s cisterno ,GVC-2
Gasilsko vozilo s cisterno ,GVC-3
Gasilsko vozilo s prahom,GVS-1000
Gasilsko vozilo s prahom ,GVS-2000
Gasilsko vozilo s prahom in vodo ,GVSV
Gasilsko zgibno ali teleskopsko dvigalo ,ZD/TD
Gasilska avto lestev s košaro ,ALK
Hitro tehnično reševalno vozilo ,HTRV
Tehnično reševalno vozilo ,TRV
Orodno vozilo za posredovanje pri nevarnih snoveh ,OVNS
Orodno vozilo za reševanje na vodi ,OVRV
Manjše gasilsko vozilo za gašenje gozdnih požarov ,GVGP-1
Večje gasilsko vozilo za gašenje gozdnih požarov, GVGP-2
Manjša gasilska cisterna za gozdne požare ,GCGP-1
Srednja gasilska cisterna za gozdne požare ,GCGP-2
Velika gasilska cisterna za gozdne požare ,GCGP-3
Gasilsko vozilo za prevoz moštva ,GVM-1
Večnamensko gasilsko vozilo, VGV
Manjše gasilsko vozilo za logistiko ,GVL-1
Večje gasilsko vozilo za logistiko ,GVL-2
Gasilsko tovorno vozilo ,GTV
Gasilsko vozilo za prevoz kontejnerjev ,GVK
Manjši gasilski reševalni čoln ,GRČ-1
Srednji gasilski reševalni čoln ,GRČ-2
Večnamenski gasilski čoln ,VGČ
Priklopnik s prenosno motorno brizgalno ,PMB
Priklopnik za razsvetljavo ,PR
Priklopnik za gasilni prah ,PS
Priklopnik za reševalni čoln ,PČ
Priklopnik za logistiko ,PL
Priklopnik za visokotlačno črpalko ,PVT
